"cerebellum__Normal"	"frontal__Normal"	"hippocampus__Normal"	"cerebellum__Progranulin"	"frontal__Progranulin"	"hippocampus__Progranulin"	"cerebellum__Sporadic"	"frontal__Sporadic"	"hippocampus__Sporadic"	"Annotation"
"ANXA1"	7.736705	8.368142	8.975619	7.362166	9.886284	11.178032	7.161699	9.647554	9.781886	"annexin A1"
"ANXA4"	7.072548	8.409321	10.467639	6.10462	9.337634	9.344093	6.985388	8.771749	9.201915	"annexin A4"
"ENC1"	7.293157	13.287115	11.156746	7.560842	10.386594	9.794686	8.573477	12.707001	12.019965	"ectodermal-neural cortex 1"
"CTSC"	5.352803	7.175168	5.626867	5.582225	8.461901	7.953004	6.748346	7.661768	7.314318	"cathepsin C"
"BST2"	5.758457	7.810575	7.365568	6.161931	9.205431	8.853899	5.970033	7.924218	7.41637	"bone marrow stromal cell antigen 2"
"KRT19"	6.483922	1.866185	1.890819	5.698924	3.72504	2.316115	5.461474	2.05141	2.869833	"keratin 19"
"RPS4Y1"	9.035333	7.899116	8.317661	6.348613	8.395693	7.232334	5.241189	7.243585	8.289332	"ribosomal protein S4 Y-linked 1"
"PLK2"	5.446516	10.600383	9.722375	4.582286	7.880655	7.674602	6.483418	10.16437	9.661913	"polo like kinase 2"
"SERPINF1"	6.478134	10.021288	12.897712	6.223785	9.062219	8.420816	6.040359	9.946367	10.086146	"serpin family F member 1"
"TNFSF10"	6.88325	7.303522	9.101812	6.559467	9.003208	8.62106	5.719105	6.96667	7.430709	"TNF superfamily member 10"
"IGFBP2"	4.91418	8.030683	9.445053	5.604537	8.293436	6.938445	4.733097	8.292386	7.620658	"insulin like growth factor binding protein 2"
"ABCC4"	5.517889	5.863565	7.040804	4.591771	7.427381	7.906606	5.291096	7.069521	6.998328	"ATP binding cassette subfamily C member 4"
"PSD4"	4.795184	5.057356	6.224856	4.050162	7.391236	7.561135	4.988648	5.965293	6.529605	"pleckstrin and Sec7 domain containing 4"
"IQGAP2"	4.275179	4.758018	6.383226	4.312652	6.287373	7.160981	4.039174	5.100258	5.546051	"IQ motif containing GTPase activating protein 2"
"TPBG"	5.93601	9.441487	9.23223	6.540761	8.569739	7.670961	6.063755	8.892545	7.744955	"trophoblast glycoprotein"
"COL15A1"	4.321394	4.312212	6.651478	5.151083	6.425905	5.853537	5.388178	5.125393	6.096015	"collagen type XV alpha 1 chain"
"MET"	3.4451	7.869479	9.509412	3.787313	7.541261	5.797959	3.677282	8.279109	8.374816	"MET proto-oncogene, receptor tyrosine kinase"
"ZNF217"	5.08955	6.312153	6.296821	5.396215	7.705717	8.061398	5.5607	6.952653	6.981203	"zinc finger protein 217"
"GSTT1"	9.374098	8.923344	9.751716	7.537302	8.034135	8.735417	5.561137	6.568457	7.810938	"glutathione S-transferase theta 1"
"ACTN2"	3.80556	7.087066	7.759329	3.620014	5.832152	6.300982	4.651087	7.34721	7.161092	"actinin alpha 2"
"PTPN3"	6.277212	7.606646	7.994551	5.336981	5.089176	7.010212	5.302397	7.004171	7.403904	"protein tyrosine phosphatase, non-receptor type 3"
"DUSP4"	8.446951	6.930129	6.198664	7.691333	5.02243	6.440863	5.778712	5.039879	7.910599	"dual specificity phosphatase 4"
"MEIS1"	10.699674	7.306327	7.783545	10.421645	7.645305	7.944125	10.154223	7.575865	8.067353	"Meis homeobox 1"
